DATE,ALGERIA,ANGOLA,BENIN,BOTSWANA,BURKINAFASO,BURUNDI,CABOVERDE,CAMEROON,CAR,CHAD,COMOROS,CONGODR,CONGOREPUB,DJIBOUTI,EGYPT,EQGUINEA,ERITREA,ETHIOPIA,GABON,GAMBIA,GHANA,GUINEA,GUINEABISSAU,IVORYCOAST,KENYA,LESOTHO,LIBERIA,LIBYA,MADAGASCAR,MALAWI,MALI,MAURITANIA,MAURITIUS,MOROCCO,MOZAMBIQUE,NAMIBIA,NIGER,NIGERIA,RWANDA,SAOTOME,SENEGAL,SEYCHELLES,SIERRALEONE,SOMALIA,SOUTHAFRICA,SUDAN,TANZANIA,TOGO,TUNISIA,UGANDA,ZAMBIA,ZIMBABWE
1986,324.1878831,177.2038899,222.4381084,1603.184575,243.0160282,257.461193,324.8602393,383.4865657,157.6540433,130.1473422,293.8960185,161.161596,422.4034189,201.9399151,438.0112382,339.2992428,252.215908,97.22162807,454.5417719,299.0882031,143.2095503,203.1030723,129.6199175,403.0074108,407.6358337,407.005437,172.9930563,83.79862268,139.3639914,318.3626576,200.1474789,285.3498257,497.9521264,499.9965612,212.5717945,275.9328698,138.5724197,193.702576,262.9433717,454.3624083,169.5785326,339.830632,200.1109276,184.6595761,259.6216777,181.2210191,250.0842486,336.1242814,390.4425315,268.010371,169.5912379,313.9573667
1987,321.9185679,191.2029972,219.1015368,1793.96354,242.5299962,271.6215586,338.8292296,375.4333478,149.9289952,127.023806,298.5983548,165.5129591,423.2482257,203.5554344,448.9615192,354.2284095,271.8887489,110.7354344,376.8151289,306.5654082,150.0836087,209.8054736,133.3788952,401.7983886,431.6863479,409.8544751,171.2631257,71.48022515,141.0363593,323.4564601,199.9473314,290.7714724,542.2698656,498.4965715,243.8198483,285.8664531,138.7109921,172.7826978,262.9433717,441.1858984,179.9228231,354.7831798,214.5189144,194.0772145,265.0737329,206.9544039,264.8392193,337.8049028,416.6021811,278.7307858,174.1702013,317.7248551
1988,318.6993822,201.9103651,226.550989,2141.992467,256.596736,285.2026365,359.1589834,346.1495467,152.4777881,146.7124959,306.6605104,166.3405239,430.8666938,205.5909887,472.7564797,363.7925766,289.5615175,111.2891115,425.0474654,320.3608516,158.4882908,223.0232185,139.5143243,406.2181709,458.4509014,445.10196,167.8378632,76.91272226,145.8315956,333.8070669,214.7434339,295.7145874,579.1442165,557.8176636,263.8130759,288.1533847,148.2820506,185.7414001,274.7758234,450.0096164,178.8432861,373.9414715,199.2880715,192.9127512,276.2068297,206.3335407,276.4921449,360.1000264,417.0187833,301.8654411,185.142924,341.871944
1989,332.722155,202.7180065,219.9810104,2422.59348,262.2418642,288.9102708,379.6310454,339.9188549,155.5273438,153.9014082,296.847374,164.1780971,442.0692278,210.7307635,496.3943037,359.4270657,304.3291549,110.8439551,461.1764999,339.2621418,166.5711936,231.9441472,148.0246981,417.9984978,479.9980938,470.9178736,123.0251537,82.45043826,151.810691,338.1465587,223.7626581,309.9088876,605.2057062,573.4365581,280.9609258,293.628299,149.616589,197.8145911,274.7758234,463.9599145,185.9970176,415.8229163,200.683088,192.5269257,282.8357936,224.6972258,286.9988464,374.8641274,424.1081026,321.1848293,183.2914948,359.6492851
1990,335.3839323,202.1098525,239.7793013,2587.329836,260.668413,299.0221303,382.2884627,319.1838047,152.2612696,147.4375491,311.9865901,153.3423427,446.4899201,211.7844173,524.688779,352.9573785,317.1109794,113.8367419,485.1576779,351.4755789,172.068043,241.9177455,157.0542047,413.4005144,500.1580137,499.172946,60.28232533,85.50110448,156.5168224,357.4209126,218.1685917,304.3305276,648.7805171,592.9334011,283.7705351,299.500865,147.6715734,223.1348588,268.1812036,453.7527964,184.6950384,444.9305205,207.3056299,189.6390218,281.9872862,212.3388784,307.0887657,374.1143992,457.6126427,342.0618432,182.3750373,384.8247351
1991,331.3593251,199.6845343,249.850032,2781.379574,284.3892386,313.9732368,387.6405012,307.0548201,151.347702,159.9697408,295.1393142,140.4615859,457.2056782,202.6776873,530.4603556,349.4278047,340.2600809,105.7543332,514.7522963,362.3713219,181.1876493,248.2076069,165.0639691,413.4005144,507.1602259,534.1150523,51.72223513,98.92477788,146.6562626,388.516532,243.6943169,309.8084771,677.3268599,635.624606,297.6752913,324.0599359,151.3633627,221.7960496,261.4766735,459.19783,189.4971094,457.388575,212.280965,139.7639591,279.1674134,228.2642942,313.5376297,371.4955984,475.4595358,361.2173064,182.3750373,405.9900955
1992,337.3237929,185.9063014,257.3455329,2862.039582,284.958017,317.1129691,429.8933158,297.5361207,141.6614491,172.76732,320.2261559,125.7131194,469.0930258,202.6776873,553.8006112,470.6792529,357.6133451,96.55370622,498.7949751,374.6919468,188.2539676,256.398458,166.8796728,412.5737133,503.1029441,571.5031059,33.5677306,96.25380888,148.4161377,360.1548251,235.8960988,315.6948382,721.3531057,622.2764893,282.1961762,347.3922513,141.5247441,222.6832338,276.9037973,462.4122148,191.7710747,490.3205524,171.9475816,128.3033144,273.3048977,243.3297377,315.4188555,356.6357745,512.5453796,373.4986948,179.2746617,369.4509869
1993,330.2399933,139.987445,272.2715738,2916.418334,294.9315476,297.4519651,467.2940343,274.0307672,142.0864334,145.6428508,329.8329406,108.7418482,464.4020956,189.30096,569.860829,522.4539708,405.8911467,109.2022417,518.2479791,385.9327052,197.478412,269.2183809,170.3841459,411.7485659,505.1153559,591.5057146,22.4903795,92.59616414,151.5328766,395.0898432,243.4447739,334.3208336,758.1421141,617.9205538,307.0294397,341.8339753,143.5060906,227.3595817,254.4745897,467.4987491,194.2640987,520.7204267,174.3548478,144.0846221,276.5845565,254.5229056,319.2038818,302.7837725,523.8213779,404.4990865,191.4653387,373.5149478
1994,327.2678333,144.8870055,277.7170053,3021.409394,298.7656578,286.1487904,557.0144889,279.7854133,149.0486687,160.3527787,312.3517948,104.5009162,438.8599803,187.5972513,592.6552621,609.7037839,491.9400698,112.6967135,537.4231544,386.7045707,203.9951996,279.9871161,175.8364386,415.0425544,518.2483552,626.9960575,17.58747677,94.35549126,151.3813438,354.7906792,252.6956753,323.9568878,789.2259408,683.4201325,326.0652649,347.6451529,149.2463342,229.405818,126.7283457,477.7837216,194.2640987,516.5546633,171.0421057,178.3767621,285.4352623,257.0681346,324.3111439,348.2013384,540.583662,430.387028,174.9993196,407.878323
1995,339.704011,159.9552541,294.3800256,3232.908051,315.7953002,263.5430359,636.1105463,289.5779028,159.7801728,162.2770121,323.5964594,105.2324226,456.4143795,181.0313475,619.9174042,716.4019461,506.2063318,119.571213,564.2943121,390.1849118,212.3590028,292.8665234,183.5732419,444.5105758,541.0512828,647.6869274,16.83121527,82.65541034,153.9548266,414.0407226,254.9699364,355.7046628,823.1626563,646.5154454,333.2387007,361.2033138,153.1267389,228.7176005,171.3367233,487.339396,204.7543601,512.422226,157.3587372,194.252294,294.2837554,272.4922227,335.9863451,375.3610428,553.5576699,479.8815363,180.0742998,408.6940796
1996,353.6318754,177.8702426,307.0383667,3420.416718,350.5327833,242.4595931,707.9910381,302.3193305,153.3889659,165.8471063,319.3897054,104.1800984,476.0401978,173.6090623,650.9132744,1193.525642,553.2835206,134.3980434,584.6089073,398.7689798,222.1275169,306.045517,204.867738,478.7378901,563.2343854,683.9573954,18.86779232,84.80445101,157.187878,444.2656953,273.0728019,376.3355332,869.259765,726.6833606,422.5466725,372.7618199,158.333048,240.1534805,193.0964872,494.649487,208.8494473,537.5309151,160.1911945,214.8430371,306.9379569,288.5692639,351.1057306,408.3928146,592.8602645,523.5507561,191.2389064,451.1982639
1997,357.5218261,191.9219917,324.5395536,3694.050056,372.6163486,238.5802396,786.5780433,318.0399357,161.5185811,175.3003914,332.1652936,98.34601285,473.1839566,172.3937989,686.7135045,2983.814105,596.9929188,138.5643827,617.931615,418.3086599,231.4568726,321.9598839,218.1841409,496.4511921,566.0505573,709.263819,38.92425555,84.29562431,163.0038294,461.1477918,286.1802964,361.2821119,918.8075716,715.0564268,468.1817132,388.4178163,162.7663733,246.877778,219.7438024,499.5959819,215.3237801,602.0346249,150.739914,245.1359054,314.9183438,319.1576058,363.3944312,467.2013798,624.8747188,550.2518446,198.5059849,463.380617
1998,375.7554392,204.9726872,337.5211358,3719.908406,399.8173421,249.7935108,884.9002987,332.3517328,169.1099544,187.5714188,336.4834424,96.77247664,490.691763,172.5661927,714.1820447,3693.961862,607.7387913,133.7146294,639.5592215,432.949463,242.3353456,333.5504397,156.8743973,520.7773005,584.7302257,719.9027763,50.67938073,83.95844181,169.3609788,479.1325556,307.9299989,371.3980111,974.8548335,766.5404896,523.895337,401.2356042,179.6940762,253.543478,239.3010009,512.0858814,228.0278831,652.6055333,153.4532325,246.3615849,316.4929355,332.8813829,376.8400251,456.4557481,654.8687053,577.214185,197.7119609,476.8186549
1999,387.7796133,211.5318132,355.409756,4080.739522,429.4038254,247.2955757,984.0091322,346.6428573,175.1979128,186.2584188,342.8766279,92.61126015,477.9337772,176.3626489,757.7471494,4643.310061,607.7387913,140.6677901,582.6384508,460.6582286,252.9981008,346.2253564,158.4431413,529.1097373,598.1790209,723.5022901,61.67680634,84.37823402,177.3209448,493.5065323,325.4820088,399.9956579,1000.201059,774.972435,564.7591733,414.8776148,178.6159117,254.8111954,249.5909439,524.8880284,242.3936398,665.0050385,150.3841678,279.6203989,324.0887659,343.2007057,394.9283463,467.8671418,694.8156963,623.968534,207.0044231,473.0041057
2000,402.5152386,217.8777675,376.3789316,4162.354312,437.1330942,245.0699155,1124.722438,359.1220001,170.8179649,184.5820931,379.9073037,86.2210832,514.2567443,177.0680995,798.6654954,5488.392492,588.8988888,149.2485253,571.5683203,485.9944312,262.3590306,354.8809903,166.9990709,517.9984328,601.768095,751.7188795,79.31637296,87.50022868,185.8323501,501.4026368,325.1565268,398.3956753,1090.219154,789.6969112,574.3600793,429.3983313,176.1152889,268.3161888,270.5565832,526.9875806,250.1502363,674.9801141,160.4599071,292.2033168,337.7004941,364.8223502,414.2798353,464.1242047,727.472034,643.3115586,215.0775956,458.3409784
2001,414.5906957,227.0286338,396.3270149,4174.841375,465.9838785,250.2163838,1149.466332,374.9233681,178.5047734,206.178198,388.6451716,84.41044045,533.7985006,180.6094615,826.6187878,8968.033332,640.721991,161.6361529,583.571255,514.1821082,272.8533918,368.0115869,170.6730505,518.5164312,624.6352826,778.7807591,81.61654777,85.92522456,196.9822912,476.332505,375.230632,406.3635888,1118.564853,847.3447857,647.3038094,434.5511113,188.6194745,280.1221011,293.5538927,543.8511831,261.6571471,659.4555714,149.0672537,323.1768684,346.8184074,388.535803,439.1366254,456.6982174,755.1159713,676.7637596,226.4767081,464.7577521
2002,437.8077747,211.3636581,414.5580576,4429.506699,486.4871691,261.2259047,1210.388047,390.6701496,184.9309452,223.7033448,397.5840106,86.85834322,558.3532316,185.3053075,846.4576387,10716.79983,659.9436507,164.0606952,582.4041125,497.2140986,285.1317944,387.1481895,168.96632,509.7016519,627.758459,784.2322244,84.71797659,85.06597231,171.9655402,484.4301576,386.8627816,409.2081339,1142.054714,873.6124741,704.2665446,455.4095646,194.2780587,290.7667409,332.3030066,556.9036115,263.4887472,667.3690383,188.2719414,333.5185282,359.6506885,413.4020944,470.7544624,452.5879334,764.9324789,735.6422067,236.66816,423.3943122
